match_no,ballnumber,inningno,over,outcome,batter,bowler,comment
41,113,1,17.5,1,Ravindra Jadeja,Arshdeep Singh,"Arshdeep Singh to Ravindra Jadeja, 1 run,"
41,114,1,17.6,1,Devon Conway,Arshdeep Singh,"Arshdeep Singh to Devon Conway, 1 run,"
41,115,1,18.1,1,Devon Conway,Kagiso Rabada,"Kagiso Rabada to Devon Conway, 1 run,"
41,116,1,18.2,1,Ravindra Jadeja,Kagiso Rabada,"Kagiso Rabada to Ravindra Jadeja, 1 run,"
41,117,1,18.3,1,Devon Conway,Kagiso Rabada,"Kagiso Rabada to Devon Conway, 1 run,"
41,118,1,18.4,1,Ravindra Jadeja,Kagiso Rabada,"Kagiso Rabada to Ravindra Jadeja, 1 run,"
41,119,1,18.5,0,Devon Conway,Kagiso Rabada,"Kagiso Rabada to Devon Conway, no run,"
41,120,1,18.6,4,Devon Conway,Kagiso Rabada,"Kagiso Rabada to Devon Conway, Four,"
41,121,1,19.1,w,Ravindra Jadeja,Sam Curran,"Sam Curran to Ravindra Jadeja, no run,                           Wicket - c LS Livingstone b Sam Curran batsmen out 12(10)"
41,122,1,19.2,0,MS Dhoni,Sam Curran,"Sam Curran to MS Dhoni, no run,"
41,123,1,19.3,1,MS Dhoni,Sam Curran,"Sam Curran to MS Dhoni, 1 run,"
41,124,1,19.4,1wd,Devon Conway,Sam Curran,"Sam Curran to Devon Conway, 1 wide,"
41,125,1,19.4,1,Devon Conway,Sam Curran,"Sam Curran to Devon Conway, 1 run,"
41,126,1,19.5,6,MS Dhoni,Sam Curran,"Sam Curran to MS Dhoni, Six,"
41,127,1,19.6,6,MS Dhoni,Sam Curran,"Sam Curran to MS Dhoni, Six,"
41,1,2,0.1,1,Prabhsimran Singh,Akash Singh,"Akash Singh to Prabhsimran Singh, 1 run,"
41,2,2,0.2,4,Shikhar Dhawan,Akash Singh,"Akash Singh to Shikhar Dhawan, Four,"
41,3,2,0.3,4,Shikhar Dhawan,Akash Singh,"Akash Singh to Shikhar Dhawan, Four,"
41,4,2,0.4,0,Shikhar Dhawan,Akash Singh,"Akash Singh to Shikhar Dhawan, no run,"
41,5,2,0.5,1,Shikhar Dhawan,Akash Singh,"Akash Singh to Shikhar Dhawan, 1 run,"
41,6,2,0.6,1,Prabhsimran Singh,Akash Singh,"Akash Singh to Prabhsimran Singh, 1 run,"
41,7,2,1.1,2,Prabhsimran Singh,Tushar Deshpande,"Tushar Deshpande to Prabhsimran Singh, 2 runs,"
41,8,2,1.2,0,Prabhsimran Singh,Tushar Deshpande,"Tushar Deshpande to Prabhsimran Singh, no run,"
41,9,2,1.3,6,Prabhsimran Singh,Tushar Deshpande,"Tushar Deshpande to Prabhsimran Singh, Six,"
41,10,2,1.4,0,Prabhsimran Singh,Tushar Deshpande,"Tushar Deshpande to Prabhsimran Singh, no run,"
41,11,2,1.5,1lb,Prabhsimran Singh,Tushar Deshpande,"Tushar Deshpande to Prabhsimran Singh, 1 leg bye,"
41,12,2,1.6,0,Shikhar Dhawan,Tushar Deshpande,"Tushar Deshpande to Shikhar Dhawan, no run,"
41,13,2,2.1,1,Prabhsimran Singh,Akash Singh,"Akash Singh to Prabhsimran Singh, 1 run,"
41,14,2,2.2,0,Shikhar Dhawan,Akash Singh,"Akash Singh to Shikhar Dhawan, no run,"
41,15,2,2.3,0,Shikhar Dhawan,Akash Singh,"Akash Singh to Shikhar Dhawan, no run,"
41,16,2,2.4,1wd,Shikhar Dhawan,Akash Singh,"Akash Singh to Shikhar Dhawan, 1 wide,"
41,17,2,2.4,6,Shikhar Dhawan,Akash Singh,"Akash Singh to Shikhar Dhawan, Six,"
41,18,2,2.5,2,Shikhar Dhawan,Akash Singh,"Akash Singh to Shikhar Dhawan, 2 runs,"
41,19,2,2.6,4,Shikhar Dhawan,Akash Singh,"Akash Singh to Shikhar Dhawan, Four,"
41,20,2,3.1,4,Prabhsimran Singh,Maheesh Theekshana,"Maheesh Theekshana to Prabhsimran Singh, Four,"
41,21,2,3.2,1,Prabhsimran Singh,Maheesh Theekshana,"Maheesh Theekshana to Prabhsimran Singh, 1 run,"
41,22,2,3.3,0,Shikhar Dhawan,Maheesh Theekshana,"Maheesh Theekshana to Shikhar Dhawan, no run,"
41,23,2,3.4,2,Shikhar Dhawan,Maheesh Theekshana,"Maheesh Theekshana to Shikhar Dhawan, 2 runs,"
41,24,2,3.5,1,Shikhar Dhawan,Maheesh Theekshana,"Maheesh Theekshana to Shikhar Dhawan, 1 run,"
41,25,2,3.6,4,Prabhsimran Singh,Maheesh Theekshana,"Maheesh Theekshana to Prabhsimran Singh, Four,"
41,26,2,4.1,4,Shikhar Dhawan,Tushar Deshpande,"Tushar Deshpande to Shikhar Dhawan, Four,"
41,27,2,4.2,w,Shikhar Dhawan,Tushar Deshpande,"Tushar Deshpande to Shikhar Dhawan, no run,                           Wicket - c Matheesha Pathirana b TU Deshpande batsmen out 28(15)"
41,28,2,4.3,2,Atharva Taide,Tushar Deshpande,"Tushar Deshpande to Atharva Taide, 2 runs,"
41,29,2,4.4,0,Atharva Taide,Tushar Deshpande,"Tushar Deshpande to Atharva Taide, no run,"
41,30,2,4.5,1,Atharva Taide,Tushar Deshpande,"Tushar Deshpande to Atharva Taide, 1 run,"
41,31,2,4.6,1,Prabhsimran Singh,Tushar Deshpande,"Tushar Deshpande to Prabhsimran Singh, 1 run,"
41,32,2,5.1,4,Prabhsimran Singh,Maheesh Theekshana,"Maheesh Theekshana to Prabhsimran Singh, Four,"
41,33,2,5.2,1,Prabhsimran Singh,Maheesh Theekshana,"Maheesh Theekshana to Prabhsimran Singh, 1 run,"
41,34,2,5.3,1,Atharva Taide,Maheesh Theekshana,"Maheesh Theekshana to Atharva Taide, 1 run,"
41,35,2,5.4,1,Prabhsimran Singh,Maheesh Theekshana,"Maheesh Theekshana to Prabhsimran Singh, 1 run,"
41,36,2,5.5,1,Atharva Taide,Maheesh Theekshana,"Maheesh Theekshana to Atharva Taide, 1 run,"
41,37,2,5.6,0,Prabhsimran Singh,Maheesh Theekshana,"Maheesh Theekshana to Prabhsimran Singh, no run,"
41,38,2,6.1,0,Atharva Taide,Ravindra Jadeja,"Ravindra Jadeja to Atharva Taide, no run,"
